img_path,label
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_6268.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_4440.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_1162.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_2/object/sample_782.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_6931.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_32972.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_7/nothing/sample_1.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_8/object/sample_1724.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_8/nothing/sample_1633.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_11/nothing/sample_6457.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_15108.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_30097.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_8/nothing/sample_2647.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_8/object/sample_1639.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/object/sample_18585.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_16401.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_1426.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_11698.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_2/object/sample_7752.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_11/nothing/sample_6232.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_7/object/sample_1385.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_8/object/sample_1713.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_8/object/sample_113.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_15186.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_11/object/sample_6943.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/object/sample_7071.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_2/object/sample_2097.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/object/sample_15282.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_23623.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_2/object/sample_1437.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/object/sample_2818.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_21372.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_2/nothing/sample_4487.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_25161.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/object/sample_10970.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_5/nothing/sample_798.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_31919.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_29980.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_2/object/sample_4508.npy,1
/home/guoj5/Desktop/data_normalized/sample_ds_10/nothing/sample_30582.npy,0
/home/guoj5/Desktop/data_normalized/sample_ds_7/nothing/sample_4150.npy,0
